Date,Open,High,Low,Close,Adj Close,Volume
2011-09-22,8.070000,8.220000,7.950000,8.030000,7.389039,18753800
2011-09-23,8.040000,8.400000,7.990000,8.380000,7.711102,13980200
2011-09-26,8.470000,8.730000,8.450000,8.710000,8.014759,12031700
2011-09-27,8.890000,8.930000,8.470000,8.530000,7.849130,10463800
2011-09-28,8.510000,8.700000,8.480000,8.530000,7.849130,14076900
2011-09-29,8.690000,8.720000,8.480000,8.630000,7.941147,10279400
2011-09-30,8.490000,8.560000,8.040000,8.040000,7.398240,10393200
2011-10-03,8.020000,8.020000,7.350000,7.350000,6.763317,17402500
2011-10-04,7.370000,7.550000,7.150000,7.500000,6.901342,15800000
2011-10-05,7.550000,7.610000,7.320000,7.570000,6.965756,10169600
2011-10-06,7.610000,7.890000,7.480000,7.860000,7.232608,9091400
2011-10-07,7.970000,7.980000,7.550000,7.690000,7.076179,11219600
2011-10-10,7.760000,7.970000,7.690000,7.970000,7.333827,8135500
2011-10-11,7.900000,8.200000,7.850000,8.150000,7.499461,10567000
2011-10-12,8.190000,8.390000,8.180000,8.330000,7.665094,10741200
2011-10-13,8.250000,8.630000,8.180000,8.610000,7.922743,9857600
2011-10-14,8.690000,8.690000,8.480000,8.610000,7.922743,5971900
2011-10-17,8.680000,8.720000,8.530000,8.610000,7.922743,9473200
2011-10-18,8.520000,8.910000,8.360000,8.820000,8.115979,8170400
2011-10-19,8.830000,8.890000,8.680000,8.710000,8.014759,8444000
2011-10-20,8.710000,9.280000,8.710000,9.100000,8.373629,12784500
2011-10-21,9.230000,9.230000,8.670000,8.870000,8.161990,13583800
2011-10-24,8.830000,9.180000,8.830000,9.060000,8.336823,6171500
2011-10-25,8.980000,9.000000,8.600000,8.720000,8.023962,9089800
2011-10-26,8.800000,8.840000,8.450000,8.630000,7.941147,8835400
2011-10-27,8.890000,8.970000,8.740000,8.850000,8.143586,12730300
2011-10-28,8.820000,8.890000,8.650000,8.780000,8.079172,8004600
2011-10-31,8.710000,8.710000,8.550000,8.550000,7.867533,5576600
2011-11-01,8.320000,8.630000,8.260000,8.460000,7.784716,18813100
2011-11-02,8.560000,8.600000,8.440000,8.480000,7.803117,9807700
2011-11-03,8.610000,8.630000,8.430000,8.590000,7.904338,8033700
2011-11-04,8.520000,8.600000,8.410000,8.530000,7.849130,6843300
2011-11-07,8.530000,8.620000,8.370000,8.420000,7.747909,7636800
2011-11-08,8.400000,8.550000,8.330000,8.470000,7.793919,7644200
2011-11-09,8.270000,8.330000,8.140000,8.170000,7.517865,6572700
2011-11-10,8.270000,8.320000,8.070000,8.110000,7.462653,7234200
2011-11-11,8.240000,8.270000,8.150000,8.210000,7.554671,5263800
2011-11-14,8.180000,8.330000,8.080000,8.190000,7.536267,8314700
2011-11-15,8.130000,8.240000,8.090000,8.200000,7.545469,6784900
2011-11-16,8.120000,8.250000,8.040000,8.050000,7.407442,7410100
2011-11-17,8.040000,8.100000,7.720000,7.780000,7.158995,8429700
2011-11-18,7.850000,7.930000,7.760000,7.810000,7.186601,6165300
2011-11-21,7.710000,7.810000,7.610000,7.730000,7.112986,5945700
2011-11-22,7.700000,7.790000,7.600000,7.650000,7.039370,7605400
